title,upc,category,price_e_tax,price_i_tax,tax,rating,reviews,quantity,stock,link,img_link
A Light in the Attic,a897fe39b1053632,Poetry,51.77,51.77,0.0,Three,0,In stock (22 available),In stock,a-light-in-the-attic_1000/index.html,../media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg
Tipping the Velvet,90fa61229261140a,Historical Fiction,53.74,53.74,0.0,One,0,In stock (20 available),In stock,tipping-the-velvet_999/index.html,../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
Soumission,6957f44c3847a760,Fiction,50.1,50.1,0.0,One,0,In stock (20 available),In stock,soumission_998/index.html,../media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg
Sharp Objects,e00eb4fd7b871a48,Mystery,47.82,47.82,0.0,Four,0,In stock (20 available),In stock,sharp-objects_997/index.html,../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
Sapiens: A Brief History of Humankind,4165285e1663650f,History,54.23,54.23,0.0,Five,0,In stock (20 available),In stock,sapiens-a-brief-history-of-humankind_996/index.html,../media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg
The Requiem Red,f77dbf2323deb740,Young Adult,22.65,22.65,0.0,One,0,In stock (19 available),In stock,the-requiem-red_995/index.html,../media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg
The Dirty Little Secrets of Getting Your Dream Job,2597b5a345f45e1b,Business,33.34,33.34,0.0,Four,0,In stock (19 available),In stock,the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,../media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",e72a5dfc7e9267b2,Default,17.93,17.93,0.0,Three,0,In stock (19 available),In stock,the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,../media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,e10e1e165dc8be4a,Default,22.6,22.6,0.0,Four,0,In stock (19 available),In stock,the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,../media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg
The Black Maria,1dfe412b8ac00530,Poetry,52.15,52.15,0.0,One,0,In stock (19 available),In stock,the-black-maria_991/index.html,../media/cache/58/46/5846057e28022268153beff6d352b06c.jpg
"Starving Hearts (Triangular Trade Trilogy, #1)",0312262ecafa5a40,Default,13.99,13.99,0.0,Two,0,In stock (19 available),In stock,starving-hearts-triangular-trade-trilogy-1_990/index.html,../media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg
Shakespeare's Sonnets,30a7f60cd76ca58c,Poetry,20.66,20.66,0.0,Four,0,In stock (19 available),In stock,shakespeares-sonnets_989/index.html,../media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg
Set Me Free,ce6396b0f23f6ecc,Young Adult,17.46,17.46,0.0,Five,0,In stock (19 available),In stock,set-me-free_988/index.html,../media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),3b1c02bac2a429e6,Sequential Art,52.29,52.29,0.0,Five,0,In stock (19 available),In stock,scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,../media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg
Rip it Up and Start Again,a34ba96d4081e6a4,Music,35.02,35.02,0.0,Five,0,In stock (19 available),In stock,rip-it-up-and-start-again_986/index.html,../media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",deda3e61b9514b83,Music,57.25,57.25,0.0,Three,0,In stock (19 available),In stock,our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,../media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg
Olio,feb7cc7701ecf901,Poetry,23.88,23.88,0.0,One,0,In stock (19 available),In stock,olio_984/index.html,../media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg
Mesaerion: The Best Science Fiction Stories 1800-1849,e30f54cea9b38190,Science Fiction,37.59,37.59,0.0,One,0,In stock (19 available),In stock,mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg
Libertarianism for Beginners,a18a4f574854aced,Politics,51.33,51.33,0.0,Two,0,In stock (19 available),In stock,libertarianism-for-beginners_982/index.html,../media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg
It's Only the Himalayas,a22124811bfa8350,Travel,45.17,45.17,0.0,Two,0,In stock (19 available),In stock,its-only-the-himalayas_981/index.html,../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg
